service,characteristic,operation,data,timestamp
FFE0,FFE1,Read,494E464F3A204C65667420576865656C73,2020-10-08 12:08:05
FFE0,FFE1,Read,204261636B776172640D0A494E464F3A20,2020-10-08 12:08:05
FFE0,FFE1,Read,5269676874205768,2020-10-08 12:08:05
FFE0,FFE1,Read,65656C73204261636B7761,2020-10-08 12:08:05
FFE0,FFE1,Read,72640D0A,2020-10-08 12:08:05
FFE0,FFE1,Read,494E464F3A204C65667420576865656C73,2020-10-08 12:08:06
FFE0,FFE1,Read,204261636B776172640D0A494E464F3A20,2020-10-08 12:08:06
FFE0,FFE1,Read,52696768,2020-10-08 12:08:06
FFE0,FFE1,Read,7420576865656C73204261636B77617264,2020-10-08 12:08:06
FFE0,FFE1,Read,0D0A,2020-10-08 12:08:06
FFE0,FFE1,Read,494E464F3A204C65667420576865656C73,2020-10-08 12:08:07
FFE0,FFE1,Read,204261636B776172640D0A494E464F3A20,2020-10-08 12:08:07
FFE0,FFE1,Read,526967687420576865656C73204261636B,2020-10-08 12:08:07
FFE0,FFE1,Read,776172640D0A,2020-10-08 12:08:07
FFE0,FFE1,Read,494E464F3A204C65667420576865656C73,2020-10-08 12:08:08
FFE0,FFE1,Read,204261636B776172640D0A494E464F3A20,2020-10-08 12:08:08
FFE0,FFE1,Read,5269676874205768,2020-10-08 12:08:08
FFE0,FFE1,Read,65656C73204261636B7761,2020-10-08 12:08:08
FFE0,FFE1,Read,72640D0A,2020-10-08 12:08:08
FFE0,FFE1,Read,494E464F3A204C65667420576865656C73,2020-10-08 12:08:09
FFE0,FFE1,Read,204261636B776172640D0A494E464F3A20,2020-10-08 12:08:09
FFE0,FFE1,Read,52696768,2020-10-08 12:08:09
FFE0,FFE1,Read,7420576865656C73204261636B77617264,2020-10-08 12:08:09
FFE0,FFE1,Read,0D0A,2020-10-08 12:08:09
FFE0,FFE1,Read,494E464F3A204C65667420576865656C73,2020-10-08 12:08:10
FFE0,FFE1,Read,204261636B776172640D0A494E464F3A20,2020-10-08 12:08:10
FFE0,FFE1,Read,526967687420576865656C73204261636B,2020-10-08 12:08:10
FFE0,FFE1,Read,776172640D0A,2020-10-08 12:08:10
FFE0,FFE1,Read,494E464F3A204C65667420576865656C73,2020-10-08 12:08:11
FFE0,FFE1,Read,204261636B776172640D0A494E464F3A20,2020-10-08 12:08:11
FFE0,FFE1,Read,526967687420576865656C73204261636B,2020-10-08 12:08:11
FFE0,FFE1,Read,776172640D0A,2020-10-08 12:08:11
FFE0,FFE1,Read,494E464F3A204C65667420576865656C73,2020-10-08 12:08:12
FFE0,FFE1,Read,204261636B776172640D0A494E464F3A20,2020-10-08 12:08:12
FFE0,FFE1,Read,52696768,2020-10-08 12:08:12
FFE0,FFE1,Read,7420576865656C73204261636B77617264,2020-10-08 12:08:12
FFE0,FFE1,Read,0D0A,2020-10-08 12:08:12
FFE0,FFE1,Read,494E464F3A204C65667420576865656C73,2020-10-08 12:08:13
FFE0,FFE1,Read,204261636B776172640D0A494E464F3A20,2020-10-08 12:08:13
FFE0,FFE1,Read,526967687420576865656C73204261636B,2020-10-08 12:08:13
FFE0,FFE1,Read,776172640D0A,2020-10-08 12:08:13
FFE0,FFE1,Read,494E464F3A204C65667420576865656C73,2020-10-08 12:08:14
FFE0,FFE1,Read,204261636B776172640D0A494E464F3A20,2020-10-08 12:08:14
FFE0,FFE1,Read,5269676874205768,2020-10-08 12:08:14
FFE0,FFE1,Read,65656C73204261636B776172640D0A,2020-10-08 12:08:14
FFE0,FFE1,Read,494E464F3A204C65667420576865656C73,2020-10-08 12:08:15
FFE0,FFE1,Read,204261636B776172640D0A494E464F3A20,2020-10-08 12:08:15
FFE0,FFE1,Read,52696768,2020-10-08 12:08:15
FFE0,FFE1,Read,7420576865656C73204261636B77617264,2020-10-08 12:08:15
FFE0,FFE1,Read,0D0A,2020-10-08 12:08:15
